Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Developmental_stage,Experiment,Genotype,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sex,source_name,SRA Study,tissue
SRR13730580,RNA-Seq,252,4777118136,PRJNA702437,SAMN17948109,1712216547,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",3rd instar larvae,SRX10118254,NSDds46,GSM5088652,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2021-08-11T00:00:00Z,GSM5088652,male,Male 3rd Instar larvae brain,SRP306827,brain
SRR13730581,RNA-Seq,252,4470770556,PRJNA702437,SAMN17948107,1597135574,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",3rd instar larvae,SRX10118255,NSDds46,GSM5088653,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2021-08-11T00:00:00Z,GSM5088653,male,Male 3rd Instar larvae brain,SRP306827,brain
SRR13730582,RNA-Seq,252,5010815628,PRJNA702437,SAMN17948106,1779022047,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",3rd instar larvae,SRX10118256,NSDds46,GSM5088654,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2021-08-11T00:00:00Z,GSM5088654,male,Male 3rd Instar larvae brain,SRP306827,brain
SRR13730583,RNA-Seq,252,4189116204,PRJNA702437,SAMN17948104,1507866281,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",3rd instar larvae,SRX10118257,NSDds46,GSM5088655,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2021-08-11T00:00:00Z,GSM5088655,male,Male 3rd Instar larvae brain,SRP306827,brain
SRR13730594,RNA-Seq,252,5018770008,PRJNA702437,SAMN17948180,1764305376,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",3rd instar larvae,SRX10118268,delta-HisC; 12xH3K36R,GSM5088666,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2021-08-11T00:00:00Z,GSM5088666,male,Male 3rd Instar larvae brain,SRP306827,brain
SRR13730595,RNA-Seq,252,5119107336,PRJNA702437,SAMN17948179,1795639390,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",3rd instar larvae,SRX10118269,delta-HisC; 12xH3K36R,GSM5088667,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2021-08-11T00:00:00Z,GSM5088667,male,Male 3rd Instar larvae brain,SRP306827,brain
SRR13730596,RNA-Seq,252,4620295008,PRJNA702437,SAMN17948177,1626021602,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",3rd instar larvae,SRX10118270,delta-HisC; 12xH3K36R,GSM5088668,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2021-08-11T00:00:00Z,GSM5088668,male,Male 3rd Instar larvae brain,SRP306827,brain
SRR13730597,RNA-Seq,252,4029628932,PRJNA702437,SAMN17948176,1424999581,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",3rd instar larvae,SRX10118271,delta-HisC; 12xH3K36R,GSM5088669,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2021-08-11T00:00:00Z,GSM5088669,male,Male 3rd Instar larvae brain,SRP306827,brain
SRR13730598,RNA-Seq,252,4799820060,PRJNA702437,SAMN17948174,1699067126,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",3rd instar larvae,SRX10118272,delta-HisC; 12xH3K36R,GSM5088670,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2021-08-11T00:00:00Z,GSM5088670,male,Male 3rd Instar larvae brain,SRP306827,brain
SRR13730599,RNA-Seq,252,4408360992,PRJNA702437,SAMN17948173,1553956749,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",3rd instar larvae,SRX10118273,delta-HisC; 12xH3K36K,GSM5088671,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2021-08-11T00:00:00Z,GSM5088671,male,Male 3rd Instar larvae brain,SRP306827,brain
SRR13730600,RNA-Seq,252,3398432184,PRJNA702437,SAMN17948172,1185617491,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",3rd instar larvae,SRX10118274,delta-HisC; 12xH3K36K,GSM5088672,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2021-08-11T00:00:00Z,GSM5088672,male,Male 3rd Instar larvae brain,SRP306827,brain
SRR13730601,RNA-Seq,252,3749069268,PRJNA702437,SAMN17948170,1317842083,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",3rd instar larvae,SRX10118275,delta-HisC; 12xH3K36K,GSM5088673,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2021-08-11T00:00:00Z,GSM5088673,male,Male 3rd Instar larvae brain,SRP306827,brain
SRR13730602,RNA-Seq,252,4516101324,PRJNA702437,SAMN17948168,1586985836,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",3rd instar larvae,SRX10118276,delta-HisC; 12xH3K36K,GSM5088674,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2021-08-11T00:00:00Z,GSM5088674,male,Male 3rd Instar larvae brain,SRP306827,brain
